dataset_rows,workers,queue_size,workload,total_requests,repeats,success_mean,success_stddev,rejected_mean,rejected_stddev,error_mean,error_stddev,total_ms_mean,total_ms_stddev,avg_ms_mean,avg_ms_stddev,p95_ms_mean,p95_ms_stddev,max_ms_mean,max_ms_stddev
10000,8,128,mixed,1024,10,990.300,106.569,1.500,4.743,32.200,101.825,184.060,9.258,5.672,11.595,12.519,29.647,15.431,31.847
10000,8,256,mixed,1024,10,1007.400,52.494,0.500,1.581,16.100,50.913,186.694,13.325,5.759,11.164,13.413,28.736,20.268,34.228
10000,8,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,184.186,6.101,5.132,9.876,11.727,27.057,15.300,29.753
10000,16,32,mixed,1024,10,974.700,150.704,1.000,2.828,48.300,147.884,187.018,11.100,6.969,15.513,15.023,36.254,18.534,39.920
10000,16,64,mixed,1024,10,979.700,140.089,1.400,4.427,42.900,135.662,189.422,13.518,7.538,16.864,15.334,37.916,22.216,41.582
10000,16,128,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,184.870,9.605,2.417,1.235,6.777,11.520,9.052,12.298
10000,16,256,mixed,1024,10,1006.500,55.340,0.600,1.897,16.900,53.442,189.038,14.279,6.623,12.936,18.385,34.191,21.958,37.330
10000,16,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,188.947,13.640,6.168,12.123,16.731,32.649,19.973,35.736
100000,4,32,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,112.163,15.761,2.510,0.675,5.001,3.432,8.261,7.132
100000,4,64,mixed,512,10,487.400,53.881,1.700,3.653,22.900,50.240,108.398,13.353,5.148,6.141,11.025,15.301,14.373,18.690
100000,4,128,mixed,512,10,503.900,25.614,0.100,0.316,8.000,25.298,107.715,13.599,3.765,4.483,7.478,11.472,9.911,13.349
100000,4,256,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,109.352,16.238,4.153,5.826,8.210,14.227,11.374,16.761
100000,4,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,110.391,18.342,4.276,4.198,10.555,14.224,13.119,15.190
100000,8,32,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,106.554,13.033,2.312,0.281,3.831,0.465,6.202,1.407
100000,8,64,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,106.470,12.608,2.271,0.203,3.718,0.341,5.816,0.892
100000,8,128,mixed,512,10,491.200,65.775,0.100,0.316,20.700,65.459,113.825,19.098,7.146,12.983,14.509,23.529,17.770,24.349
100000,8,256,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,110.125,16.014,2.394,0.331,3.988,0.813,6.720,2.237
100000,8,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,160.367,98.904,11.997,19.763,36.260,73.922,51.796,103.726
100000,16,32,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,127.546,80.805,5.959,11.790,26.420,72.114,28.578,72.111
100000,16,64,mixed,512,10,468.500,98.577,3.100,8.774,40.400,90.059,146.173,79.619,17.604,25.582,48.294,78.206,63.234,96.282
100000,16,128,mixed,512,10,495.500,52.178,0.500,1.581,16.000,50.596,110.853,18.023,6.408,13.001,11.030,23.073,13.536,24.281
100000,16,256,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,118.451,22.127,4.585,6.101,13.264,20.648,19.470,23.027
100000,16,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,111.360,16.450,2.354,0.286,3.902,0.655,7.154,4.041
100000,4,32,mixed,1024,10,958.800,137.505,3.600,11.384,61.600,129.950,414.184,426.766,9.541,12.442,13.860,31.166,223.073,440.811
100000,4,64,mixed,1024,10,983.700,127.440,1.300,4.111,39.000,123.329,236.996,9.939,6.837,13.610,14.646,33.175,18.213,35.697
100000,4,128,mixed,1024,10,1013.900,31.939,0.000,0.000,10.100,31.939,332.144,427.333,18.476,51.340,139.180,426.999,142.359,426.405
100000,4,256,mixed,1024,10,1004.200,62.613,1.000,3.162,18.800,59.451,195.736,18.660,6.864,15.027,15.532,38.352,20.053,42.047
100000,4,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,197.989,16.727,3.896,5.191,7.828,12.709,14.541,18.418
100000,8,32,mixed,1024,10,962.800,136.701,2.400,5.797,58.800,130.922,202.575,23.699,6.562,9.850,20.469,29.624,23.914,32.666
100000,8,64,mixed,1024,10,952.400,151.006,4.500,10.298,67.100,141.459,195.844,18.771,8.202,13.448,21.012,38.684,27.090,45.729
100000,8,128,mixed,1024,10,970.600,94.692,2.100,3.510,51.300,91.494,243.723,76.724,9.072,11.840,24.402,32.671,40.413,40.909
100000,8,256,mixed,1024,10,984.900,82.438,0.800,2.201,38.300,80.785,198.866,16.862,11.167,19.167,24.884,45.531,30.907,52.612
100000,8,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,214.033,41.857,6.171,12.170,13.040,29.452,20.798,33.701
100000,16,32,mixed,1024,10,982.800,130.286,1.400,4.427,39.800,125.859,209.662,25.808,5.111,9.228,11.576,25.348,16.368,31.356
100000,16,64,mixed,1024,10,970.900,119.101,2.200,5.978,50.900,113.234,202.022,16.132,6.540,11.070,18.723,30.475,23.660,34.634
100000,16,128,mixed,1024,10,969.600,115.197,1.500,3.240,52.900,112.119,202.004,23.668,8.501,13.381,20.376,35.565,26.705,41.015
100000,16,256,mixed,1024,10,1007.600,46.198,0.400,1.265,16.000,44.942,194.394,17.139,8.502,14.147,19.394,34.190,24.625,40.429
100000,16,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,197.031,15.153,6.519,13.913,13.339,31.343,18.695,37.505
1000000,4,32,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,98.037,8.858,2.161,0.144,3.478,0.361,5.757,1.600
1000000,4,64,mixed,512,10,493.000,40.453,0.600,1.897,18.400,39.022,103.120,13.904,4.189,4.063,10.206,13.809,12.919,15.011
1000000,4,128,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,88.778,0.948,2.037,0.135,3.245,0.391,4.734,0.808
1000000,4,256,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,99.943,13.014,3.835,3.475,8.866,11.366,11.401,13.143
1000000,4,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,92.313,3.428,2.130,0.218,3.525,0.942,5.381,1.660
1000000,8,32,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,99.410,11.765,2.177,0.271,3.431,0.481,5.385,0.949
1000000,8,64,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,92.121,4.730,2.115,0.164,3.471,0.670,6.067,2.987
1000000,8,128,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,101.653,14.790,2.272,0.250,3.705,0.505,6.242,1.673
1000000,8,256,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,90.341,1.932,2.046,0.074,3.239,0.156,5.116,0.903
1000000,8,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,99.217,12.885,2.187,0.281,3.463,0.482,5.282,1.153
1000000,16,32,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,90.525,1.680,2.062,0.061,3.215,0.105,5.082,1.485
1000000,16,64,mixed,512,10,502.000,31.623,0.200,0.632,9.800,30.990,101.330,17.536,2.696,1.512,5.943,7.537,8.099,8.193
1000000,16,128,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,98.152,28.046,2.799,1.770,6.645,7.248,10.533,10.265
1000000,16,256,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,89.300,3.375,2.299,0.609,4.825,3.111,7.479,4.529
1000000,16,512,mixed,512,10,512.000,0.000,0.000,0.000,0.000,0.000,88.249,2.411,2.178,0.323,4.215,2.310,6.373,2.723
1000000,4,32,mixed,1024,10,1022.000,6.325,0.000,0.000,2.000,6.325,182.271,14.491,2.233,0.486,4.184,1.489,16.513,28.285
1000000,4,64,mixed,1024,10,1023.800,0.632,0.000,0.000,0.200,0.632,177.777,12.191,2.169,0.475,4.466,2.777,7.166,4.299
1000000,4,128,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,186.389,7.252,2.353,0.769,5.382,4.856,9.698,7.079
1000000,4,256,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,192.297,27.791,2.333,0.684,4.711,3.973,7.775,5.798
1000000,4,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,186.193,11.159,2.281,0.524,4.921,3.391,8.238,5.045
1000000,8,32,mixed,1024,10,1018.200,18.341,0.000,0.000,5.800,18.341,185.259,9.187,2.273,0.801,4.925,4.935,8.424,7.490
1000000,8,64,mixed,1024,10,1012.900,18.175,0.100,0.316,11.000,17.969,184.294,8.956,3.028,1.365,8.849,7.256,14.972,12.006
1000000,8,128,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,184.262,7.773,2.310,0.775,5.087,4.676,9.358,6.031
1000000,8,256,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,188.702,14.741,2.979,2.055,8.266,10.197,12.306,12.597
1000000,8,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,181.488,3.904,2.179,0.646,4.439,3.859,7.460,6.727
1000000,16,32,mixed,1024,10,1013.100,23.610,0.500,1.080,10.400,22.530,187.400,6.311,2.524,0.952,6.721,6.657,10.739,9.943
1000000,16,64,mixed,1024,10,1020.600,10.752,0.100,0.316,3.300,10.436,187.600,7.449,2.279,0.645,5.267,4.365,9.026,6.452
1000000,16,128,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,185.745,8.672,2.539,1.138,6.485,7.029,11.800,9.891
1000000,16,256,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,186.010,12.365,2.651,0.908,8.226,6.651,13.114,10.049
1000000,16,512,mixed,1024,10,1024.000,0.000,0.000,0.000,0.000,0.000,185.264,16.474,2.311,1.017,4.849,5.171,8.359,7.685
